fecha;station_id;estacion;temperatura_12h_C;hora_temperatura;humedad_12h_pct;hora_humedad;viento_12h_kmh;hora_viento;lluvia_24h_mm;direccion_vectorial_diaria_deg;FFMC;DMC;DC;ISI;BUI;FWI
2010-05-01;C017;Miramon;12.87;12:00;87.2;12:00;6.5520000000000005;12:00;6.099999999999996;306.81220914505576;40.117676987874034;3.332565826697433;12.042925891601168;0.04940181720559605;3.939645885652421;0.019256892890227195
2010-05-02;C017;Miramon;11.63;12:00;86.8;12:00;7.416;12:00;2.3000000000000003;228.64818883682085;39.32494869686271;2.448967057630467;16.540325891601167;0.04428962052435466;3.5747404692847486;0.016628462428106342
2010-05-03;C017;Miramon;11.55;12:00;77.21;12:00;19.296000000000003;12:00;9.499999999999998;340.58778105989376;36.89099235511484;1.3729102899290266;7.677104780979494;0.048916851868038305;1.8974912498793957;0.014924757149793272
2010-05-04;C017;Miramon;7.9;12:00;68.76;12:00;32.976;12:00;4.6;353.85294269246276;47.44848205158077;0.8627111444820277;6.422572964074381;0.6202946585958118;1.2916653917519358;0.17182205781609527
2010-05-05;C017;Miramon;7.26;12:00;89.1;12:00;15.156;12:00;15.899999999999988;322.7280721903767;20.958180814854618;0.23989850984000013;3.7108;0.0004030057354476616;0.413040637359533;9.29385492310609e-05
2010-05-06;C017;Miramon;13.2;12:00;63.03;12:00;15.768;12:00;1.6;312.42773249861426;50.70909646224768;1.39181099486;8.4908;0.3953064884755916;1.974480448900554;0.12196844307187622
2010-05-07;C017;Miramon;13.9;12:00;61.89;12:00;11.196;12:00;0.0;277.0925287278073;70.25615088757968;2.89677108386;13.396799999999999;1.1088552381019936;3.7606448810418223;0.42446295351391383
2010-05-08;C017;Miramon;17.42;12:00;64.13;12:00;10.26;12:00;2.4000000000000004;159.14779074309365;67.4014089016738;3.340128174613147;18.9364;0.9651032651608378;4.6359549373373605;0.4019765999250235
2010-05-09;C017;Miramon;18.7;12:00;64.54;12:00;3.492;12:00;0.2;171.92343424653268;77.29991366912458;5.188539821893147;24.7064;1.0619208676142804;6.804553975252926;0.5260024877021723
2010-05-10;C017;Miramon;21.88;12:00;34.27;12:00;11.304;12:00;0.8999999999999999;214.59109819044613;86.38212286694693;9.165107988457144;31.0488;4.516994803844006;10.54697278319315;5.038130148624399
2010-05-11;C017;Miramon;14.35;12:00;71.48;12:00;14.004000000000001;12:00;0.0;268.9712055924349;84.78285471119064;10.325147494897145;36.0358;4.142460563306562;12.031785249164642;4.971503311428524
2010-05-12;C017;Miramon;10.96;12:00;85.1;12:00;11.772;12:00;12.1;308.05613184320225;34.875631708560185;5.17116191028555;21.947725105103377;0.021365629755409697;6.50857005128126;0.01036007783132013
2010-05-13;C017;Miramon;8.76;12:00;76.31;12:00;17.892;12:00;4.899999999999999;316.24459261806214;38.36710229669528;3.131498922580983;20.153967331629303;0.06203268075221095;4.510793738277273;0.02554321354231868
2010-05-14;C017;Miramon;11.7;12:00;67.34;12:00;5.58;12:00;20.8;240.58976989764602;30.014911516648624;1.9831212813539258;4.51;0.004584457130846819;1.9395322549001943;0.0014073576754596244
2010-05-15;C017;Miramon;10.02;12:00;91.6;12:00;14.508000000000001;12:00;10.899999999999999;295.7661679178701;17.57344083867783;0.5856865781736729;4.207599999999999;0.00010221620508285325;0.8689755283979044;2.615475430122425e-05
2010-05-16;C017;Miramon;14.17;12:00;61.73;12:00;13.536;12:00;12.899999999999999;303.05213531397817;40.03895699340401;1.538481485514;4.954599999999999;0.06919658797343696;1.7322418760887004;0.02059537477959557
2010-05-17;C017;Miramon;15.16;12:00;70.11;12:00;6.66;12:00;0.0;286.4385430852607;60.67937539187478;2.817984257838;10.087399999999999;0.5968173611259956;3.318414197810277;0.21795705096555032
2010-05-18;C017;Miramon;16.73;12:00;65.22;12:00;10.296;12:00;0.0;276.5708019137357;75.21274816104395;4.450568858722;15.502799999999999;1.3022953495669625;5.181997320283998;0.5689994746163247
2010-05-19;C017;Miramon;15.51;12:00;70.75;12:00;13.104000000000001;12:00;0.0;285.07691828198006;80.08377203563171;5.729626974772;20.6986;2.22024666093374;6.772485683084308;1.4055948570809762
2010-05-20;C017;Miramon;18.34;12:00;71.17;12:00;12.852;12:00;0.0;293.6604540946644;82.29924167197846;7.205114961604;26.403799999999997;2.8255582468007647;8.566277849883816;2.5787973746624124
2010-05-21;C017;Miramon;19.63;12:00;62.61;12:00;14.472;12:00;0.0;260.4294413197392;84.42508106002767;9.245675774506001;32.3412;4.039922969827754;10.784028473990379;4.546783154888758
2010-05-22;C017;Miramon;22.49;12:00;59.39;12:00;6.588;12:00;0.0;240.19351010083656;85.71177144129138;11.76773746464;38.7934;3.2414665236456126;13.384904991521564;4.094447106556569
2010-05-23;C017;Miramon;25.45;12:00;47.86;12:00;10.836;12:00;0.0;218.36273650304645;88.17784577546128;15.41217345786;45.7784;5.698674317630269;16.73714629707892;8.071986469269731
2010-05-24;C017;Miramon;29.33;12:00;37.96;12:00;10.368;12:00;0.0;177.1431088140182;90.81315209028978;20.382312247212;53.4618;8.12018152764904;20.871487242826273;12.188686124048973
2010-05-25;C017;Miramon;27.85;12:00;48.6;12:00;5.976;12:00;0.7;250.45493932942924;88.35070035049209;24.299789307012;60.8788;4.5728219063879205;24.3256271510129;8.185840327272889
2010-05-26;C017;Miramon;18.97;12:00;69.71;12:00;9.072000000000001;12:00;0.7;277.55995402881626;83.65690786418963;25.90023676401;66.6974;2.777557107041087;26.28383174885356;5.395134586859921
2010-05-27;C017;Miramon;19.34;12:00;60.28;12:00;10.872;12:00;3.4000000000000004;302.537707027057;68.96666991359923;21.252499284646106;68.9893223024526;1.0470020685561916;24.01226127112128;1.3099907964429787
2010-05-28;C017;Miramon;16.3;12:00;78.13;12:00;13.212;12:00;1.3000000000000003;272.07407742420526;69.54680991873899;22.254326455726105;74.3273223024526;1.1998815689620457;25.45497923382176;1.874417785487309
2010-05-29;C017;Miramon;19.14;12:00;52.91;12:00;8.604000000000001;12:00;0.0;233.0810160728993;81.63053372690081;24.763518913982104;80.1765223024526;2.1039469258419277;27.947332381128717;4.222467465735106
2010-05-30;C017;Miramon;17.39;12:00;90.4;12:00;11.304;12:00;1.2;280.0890233931954;71.06456365322543;25.230826594622105;85.7107223024526;1.1450835479473283;29.068949667363512;2.00645362934761
2010-05-31;C017;Miramon;21.11;12:00;78.37;12:00;5.760000000000001;12:00;2.500000000000001;308.64545559191527;61.331177546634;22.086430805997555;91.9145223024526;0.5921666409418566;27.595398187965063;0.6612524442876833
2010-06-01;C017;Miramon;20.64;12:00;72.03;12:00;11.268;12:00;0.30000000000000004;308.5263078528097;75.57304366904381;23.687266580345554;99.03372230245259;1.3967807133722927;29.64689014585863;2.7242112562377536
2010-06-02;C017;Miramon;18.48;12:00;77.48;12:00;11.735999999999999;12:00;0.5;321.6564770101914;79.48777220112733;24.848115893001555;105.76412230245259;1.9501314820822615;31.307721025889276;4.223508692539155
2010-06-03;C017;Miramon;20.41;12:00;65.56;12:00;10.188;12:00;0.0;304.71110705621817;83.18226070767103;26.798402004705554;112.84192230245259;2.761969620930173;33.63009396300826;6.29718509458938
2010-06-04;C017;Miramon;22.39;12:00;67.65;12:00;11.879999999999999;12:00;0.0;260.787377845573;84.31434891941504;28.798964287695554;120.27612230245259;3.4926655314762467;36.03020859308869;8.142016275855138
2010-06-05;C017;Miramon;22.21;12:00;68.42;12:00;9.612;12:00;0.0;311.851371233167;84.49130756988801;30.736943766963556;127.67792230245259;3.1908778462702343;38.37691875927155;7.811727746092933
2010-06-06;C017;Miramon;16.29;12:00;81.6;12:00;7.74;12:00;5.699999999999999;284.14738071091114;47.81437371937616;19.48042990666569;124.74750350404648;0.18286286784915828;28.021388497624528;0.2062870887049736
